እምባ ተኺሎ https://t.co/BJa2sA9b9n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
የመደመር ጽንሰ ሐሳብ ገለጻን ተከትሎ ከተሳታፊዎች ጥያቄና አስተያየት የተሰነዘረ ሲሆን ከመድረክም ማብራሪያና ምላሽ ቀርቧል።,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
@awushwish @AntyeaVerse @nigigebi @Gfasil @ZemenuYA የተኛን ሰው ጠብቀኝ ከማለት ወድያ ደግነት?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
@ahmedseid8 @heikel09 ተረኞች ፈንጩብን ??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
.... ምን ልታዘዝ ☹️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
@Vkn0ne_ ኢጎር,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
በኦሮሞ ብሄርተኝነት ቤት ውስጥ ሆኖ ኢትዮጵያን የማዳን ዕዳ መሸከም እጅግ ከባድ ነው!) - https://t.co/dUTf0gRDvL - https://t.co/LPMm5NRX6l https://t.co/Y6Kqn9kDxp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
የ @eskinder_nega Balderas በሚኒሶታ ስብሰባው በህዝብ ተጨናንቋል  እኛ ሚኒሶታን እንዲህ ነን:) #ethiopia https://t.co/1tEIET1LsG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
RT @cumwaifu: ባደረካቸው ድርጊቶች ምክንያት ቤተሰቦችዎ ደሙን ያፈሳሉ ፡፡ ለድርጊቶችዎ የዘላለም ሥቃይ ይሰማቸዋል ፡፡ ያፈሰሱ እንባዎች ወደ ደም ይለወጣሉ ፣ የሚሰማቸው ህመም ሊቋቋሙት የማይችሉት ይሆናሉ ፡፡ በቅ…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
RT @Natsente: JTitta på ”AME: ስርዓት ኢሳይያስ ዩኒቨርሲቲ ዓጽዩ ኣብያተ ማእሰርቲ ዘብዝሕ፡ ኣግራብ ኣራንቺን ቡንን ቆጥቊጡ ሓሽሽ ዚዘርእ ስርዓት ኢዩ። ፋጌና ምስክር ኢያ።” på YouTube https:/…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
